SERF2	1162	1156
MAPK6	1635	1555
ARPP19	2258	1959
PTPLAD1	1164	1909
RPL4	8423	11244
FEM1B	1454	1208
RPLP1	3755	3063
PKM	4167	3548
MORF4L1	1733	2092
RPS2	6263	6394
RPS15A	1227	1781
ARL6IP1	1097	2082
ALDOA	5317	1970
NUDT21	1902	2102
CNOT1	1987	1472
SF3B3	2548	2062
RPL13	3255	5659
YWHAE	4503	5042
PRPF8	1292	1556
MYH10	1027	1755
UBB	1245	1441
FAM211A-AS1	1818	1976
SNORD3A	19938	18267
USP22	1937	3093
RPL23A	1138	1007
NUFIP2	1904	1317
TAOK1	1075	1745
AP2B1	1279	1921
ACACA	1146	1056
RPL23	3316	4200
RPL19	4333	4847
TOP2A	1736	3455
ACLY	5214	1627
RPL27	2645	2322
VAT1	1382	1172
KPNB1	2147	2021
IGF2BP1	1963	1306
SRSF1	2565	1126
CLTC	4545	3526
DDX5	1738	2517
KPNA2	3414	2417
RPL38	1885	2212
HN1	1092	2055
SUMO2	1446	1699
H3F3B	1990	3687
SEPT9	1482	1226
ACTG1	19283	33310
P4HB	1455	1015
FASN	3978	2308
ATP5A1	5312	3711
NARS	2097	1228
CSNK2A1	1158	1310
MAPRE1	1251	1092
AHCY	2899	1108
RBM12	1299	1313
LINC00657	1883	3495
RPN2	1801	1354
YWHAB	1624	1159
CSE1L	3538	1483
GNAS	2632	5315
BSG	1731	1858
RPS15	1618	2420
OAZ1	2138	1119
EEF2	13318	18546
RPL36	1626	2357
ILF3	1430	1338
CALR	3550	2137
TPM4	3056	1541
RPL18A	3134	3232
UBA52	1865	2045
GPI	1515	1054
UBA2	1577	1447
HNRNPL	1688	1090
RPS16	1345	1179
RPS19	3666	7393
CALM3	1135	2241
RPL18	2823	4159
FTL	7934	3463
RPL13A	7573	8268
RPS11	4358	7827
PRMT1	2383	1010
PPP2R1A	1747	2448
RPS9	2705	2682
RPL28	1030	1093
RPS5	4457	3436
TRIM28	4914	2026
CRKL	1147	1148
EWSR1	1151	1427
YWHAH	1488	1198
EIF3D	1349	1143
EIF3L	2127	3978
DDX17	3433	3080
RPL3	5010	7736
ST13	1723	1983
XRCC6	3663	2357
CXADR	2383	1579
APP	1771	2669
CCT8	2111	1540
PTTG1IP	1024	1322
RNA18S5	17161	15982
RNA28S5	382440	372764
MT-RNR1	26887	81653
MT-RNR2	247669	671187
MT-CO1	2663	4907
MT-CO2	1316	1199
MT-CO3	4244	3783
